country,order_price,cost,date,category,sales_manager,sales_rep,device_type,order_id,profit,month,year
Bulgaria,147672.87,129110.39,2019-10-15,Electronics,Charil Alpe,Bernadine Fullagar,PC,81-7970957,18562.479999999996,10,2019
Sweden,53593.86,45629.81,2020-12-07,Electronics,Maxie Marrow,Caro Morfield,PC,71-4409662,7964.050000000003,12,2020
Sweden,110092.84,92797.25,2020-06-29,Other,Maxie Marrow,Anita Woakes,Tablet,50-2481520,17295.589999999997,6,2020
Sweden,174380.2,151518.96,2019-02-01,Appliances,Maxie Marrow,Tarrah Castelletti,PC,33-8484080,22861.24000000002,2,2019
France,55804.05,46401.07,2019-05-03,Electronics,Othello Bowes,Crysta Halls,PC,57-6995715,9402.980000000003,5,2019
Portugal,78938.82,65471.86,2019-04-24,Games,Celine Tumasian,Brynn Dempster,PC,16-3423161,13466.960000000006,4,2019
Sweden,124593.04,109106.13,2020-11-01,Appliances,Maxie Marrow,Madelon Bront,Mobile,00-4698524,15486.909999999989,11,2020
Sweden,126682.79,106514.89,2019-11-06,Smartphones,Maxie Marrow,Madelon Bront,PC,57-1931933,20167.899999999994,11,2019
France,86077.83,72288.16,2019-03-11,Appliances,Othello Bowes,Amelina Piscopiello,PC,85-7784608,13789.669999999998,3,2019
Spain,131409.9,115325.33,2020-11-15,Electronics,Emalia Dinse,Bertha Walbrook,PC,48-7252604,16084.569999999992,11,2020
France,123562.02,102927.16,2020-04-22,Clothing,Othello Bowes,Amelina Piscopiello,PC,67-6072579,20634.86,4,2020
Netherlands,214983.15,180413.86,2019-11-06,Beauty,Denice Amberg,Nero Harbisher,Tablet,48-7080069,34569.29000000001,11,2019
Finland,135629.36,118526.5,2020-12-08,Games,Hube Corey,Mellicent Mattys,PC,66-7717800,17102.859999999986,12,2020
France,38648.72,32368.3,2020-04-12,Beauty,Othello Bowes,Crysta Halls,Tablet,04-6732680,6280.420000000002,4,2020
Portugal,136324.9,110436.8,2019-10-29,Electronics,Celine Tumasian,Hortense Gerring,Tablet,76-2572347,25888.09999999999,10,2019
Sweden,113586.11,91641.27,2019-02-19,Outdoors,Maxie Marrow,Tarrah Castelletti,Mobile,48-8166416,21944.839999999997,2,2019
Sweden,67611.54,56191.95,2019-10-30,Clothing,Maxie Marrow,Caro Morfield,PC,62-7218897,11419.589999999997,10,2019
Portugal,143322.47,114213.68,2020-05-19,Books,Celine Tumasian,Corene Shirer,PC,04-2863062,29108.790000000008,5,2020
Sweden,171748.56,136574.45,2020-11-20,Games,Maxie Marrow,Madelon Bront,PC,74-0214938,35174.109999999986,11,2020
France,50516.2,43918.78,2019-03-22,Electronics,Othello Bowes,Maighdiln Upcraft,PC,50-1986322,6597.419999999998,3,2019
Portugal,76856.57,65535.6,2019-05-31,Clothing,Celine Tumasian,Hortense Gerring,PC,93-9111830,11320.970000000008,5,2019
Finland,125280.28,99372.32,2019-10-18,Beauty,Hube Corey,Wat Bowkley,PC,36-1142710,25907.959999999992,10,2019
France,184431.48,153059.69,2019-07-12,Books,Othello Bowes,Ora Grennan,Mobile,44-7664180,31371.790000000008,7,2019
France,102255.86,83379.43,2020-12-11,Smartphones,Othello Bowes,Avrit Chanders,PC,78-3726363,18876.430000000008,12,2020
France,101318.72,86657.9,2019-04-13,Games,Othello Bowes,Maighdiln Upcraft,PC,54-5705354,14660.820000000007,4,2019
Portugal,83226.45,71699.59,2020-11-22,Beauty,Celine Tumasian,Corene Shirer,PC,04-2788693,11526.86,11,2020
UK,129485.51,112794.83,2019-05-01,Appliances,Jessamine Apark,Jay Morefield,PC,15-2503493,16690.679999999993,5,2019
France,177802.7,155079.51,2019-07-18,Other,Othello Bowes,Amelina Piscopiello,PC,56-2537757,22723.190000000002,7,2019
Spain,44038.31,36252.34,2020-01-24,Electronics,Emalia Dinse,Manuel Goudie,PC,94-0775004,7785.970000000001,1,2020
Portugal,113781.45,91104.81,2019-08-10,Books,Celine Tumasian,Aurelie Wren,PC,44-5240815,22676.64,8,2019
Luxembourg,312928.72,270401.71,2019-12-12,Beauty,Ilsa Kob,Jocelyn Laurentino,Tablet,98-5257166,42527.00999999995,12,2019
Ireland,65397.28,53920.06,2020-03-20,Outdoors,Glenine Suttaby,Bunnie Tonbridge,Mobile,74-6211038,11477.220000000001,3,2020
France,250488.42,214142.55,2020-06-13,Appliances,Othello Bowes,Amelina Piscopiello,PC,18-2580592,36345.870000000024,6,2020
UK,111523.01,98017.57,2020-02-03,Outdoors,Jessamine Apark,Winny Agnolo,PC,82-4770311,13505.439999999988,2,2020
France,271411.92,231514.37,2019-09-12,Clothing,Othello Bowes,Amelina Piscopiello,Tablet,56-9241023,39897.54999999999,9,2019
Bulgaria,83141.47,72000.51,2019-03-15,Outdoors,Charil Alpe,Shermy McGready,Mobile,02-3333733,11140.960000000006,3,2019
Ireland,126523.36,106368.19,2020-05-14,Games,Glenine Suttaby,Bunnie Tonbridge,PC,96-1698894,20155.17,5,2020
Portugal,95410.97,80593.65,2020-09-22,Books,Celine Tumasian,Hortense Gerring,Mobile,70-9736399,14817.320000000007,9,2020
Luxembourg,136079.62,119178.53,2019-08-29,Games,Ilsa Kob,Jocelyn Laurentino,PC,37-6597365,16901.089999999997,8,2019
Sweden,25907.52,22454.05,2019-02-19,Books,Maxie Marrow,Alyosha Meah,PC,14-5110197,3453.470000000001,2,2019
France,180515.09,148852.74,2019-12-26,Books,Othello Bowes,Amelina Piscopiello,PC,68-6141868,31662.350000000006,12,2019
Finland,28538.19,24970.92,2019-05-27,Games,Hube Corey,Wat Bowkley,PC,28-7069317,3567.2700000000004,5,2019
Sweden,162142.74,136037.76,2019-01-29,Clothing,Maxie Marrow,Alyosha Meah,PC,19-1017922,26104.97999999998,1,2019
Ireland,37520.09,32781.3,2020-05-27,Clothing,Glenine Suttaby,Bunnie Tonbridge,Mobile,07-6200800,4738.789999999994,5,2020
Germany,230765.62,195435.4,2019-07-18,Beauty,Rickard Doogood,Casie MacBain,PC,70-0112393,35330.22,7,2019
France,26713.46,22043.95,2020-12-10,Beauty,Othello Bowes,Ora Grennan,PC,81-4176165,4669.509999999998,12,2020
Portugal,56763.04,47663.92,2019-11-08,Smartphones,Celine Tumasian,Aurelie Wren,Mobile,87-7908481,9099.120000000003,11,2019
France,18326.41,15067.97,2019-03-02,Games,Othello Bowes,Ora Grennan,PC,25-6638623,3258.4400000000005,3,2019
Portugal,69871.92,58014.66,2020-06-09,Games,Celine Tumasian,Smitty Culverhouse,PC,01-4729172,11857.259999999995,6,2020
Portugal,106516.4,86928.03,2019-03-21,Clothing,Celine Tumasian,Smitty Culverhouse,PC,12-4509008,19588.369999999995,3,2019
Sweden,53849.12,47354.92,2020-04-15,Games,Maxie Marrow,Alyosha Meah,PC,83-9569509,6494.200000000004,4,2020
Finland,99989.89,81191.79,2019-11-15,Appliances,Hube Corey,Wat Bowkley,PC,92-4440351,18798.100000000006,11,2019
France,132760.25,105039.91,2020-07-01,Beauty,Othello Bowes,Crysta Halls,PC,55-4161787,27720.339999999997,7,2020
Luxembourg,120831.28,95746.71,2020-05-22,Outdoors,Ilsa Kob,Jocelyn Laurentino,PC,21-4464304,25084.569999999992,5,2020
Portugal,80474.78,66568.74,2019-05-22,Clothing,Celine Tumasian,Hortense Gerring,PC,38-6891011,13906.039999999994,5,2019
Finland,222379.49,192869.73,2019-10-07,Beauty,Hube Corey,Mellicent Mattys,Mobile,51-3543971,29509.75999999998,10,2019
Sweden,173944.47,139729.59,2020-11-09,Books,Maxie Marrow,Madelon Bront,PC,46-2962443,34214.880000000005,11,2020
Spain,107359.01,90868.67,2019-10-29,Electronics,Emalia Dinse,Perri Aldersley,PC,78-7666796,16490.339999999997,10,2019
France,106730.16,89503.91,2020-07-30,Beauty,Othello Bowes,Ora Grennan,PC,60-0406937,17226.25,7,2020
France,40544.43,32666.65,2020-01-08,Books,Othello Bowes,Ora Grennan,PC,89-7467187,7877.779999999999,1,2020
Sweden,105357.645,120808.16,2019-04-05,Appliances,Maxie Marrow,Madelon Bront,PC,85-6625096,-15450.515,4,2019
France,144204.86,115262.94,2020-08-11,Books,Othello Bowes,Amelina Piscopiello,PC,56-7910696,28941.919999999984,8,2020
France,238659.41,204507.25,2019-12-23,Appliances,Othello Bowes,Amelina Piscopiello,Tablet,49-7167664,34152.16,12,2019
France,16388.9,13430.7,2020-03-15,Electronics,Othello Bowes,Crysta Halls,PC,30-9690927,2958.2000000000007,3,2020
Portugal,55166.78,47443.43,2020-04-13,Books,Celine Tumasian,Hortense Gerring,PC,70-4650708,7723.3499999999985,4,2020
Sweden,46849.71,39630.17,2019-08-26,Beauty,Maxie Marrow,Anita Woakes,PC,71-1921602,7219.540000000001,8,2019
Portugal,294472.77,255572.92,2019-11-06,Smartphones,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661,38899.850000000006,11,2019
France,80294.56,65295.54,2019-04-10,Books,Othello Bowes,Avrit Chanders,PC,47-9858688,14999.019999999997,4,2019
France,56823.17,46583.63,2019-12-21,Beauty,Othello Bowes,Ora Grennan,Mobile,26-1781486,10239.54,12,2019
France,72314.73,57309.42,2019-08-27,Appliances,Othello Bowes,Ora Grennan,PC,70-5394452,15005.309999999998,8,2019
Germany,241782.39,196544.91,2020-09-06,Appliances,Rickard Doogood,Casie MacBain,PC,15-7053450,45237.48000000001,9,2020
Sweden,152522.94,122399.66,2020-11-04,Outdoors,Maxie Marrow,Madelon Bront,PC,22-6046651,30123.28,11,2020
Portugal,98521.87,84571.17,2020-02-01,Clothing,Celine Tumasian,Brynn Dempster,PC,29-1727395,13950.699999999997,2,2020
Luxembourg,108920.56,94270.74,2019-08-07,Books,Ilsa Kob,Jocelyn Laurentino,PC,63-0019978,14649.819999999992,8,2019
Luxembourg,74732.79,64098.31,2020-02-24,Beauty,Ilsa Kob,Jocelyn Laurentino,PC,53-2132479,10634.479999999996,2,2020
Portugal,152676.77,122385.7,2020-07-07,Outdoors,Celine Tumasian,Smitty Culverhouse,PC,84-0679518,30291.069999999992,7,2020
Sweden,63196.98,54671.71,2019-04-18,Smartphones,Maxie Marrow,Caro Morfield,PC,71-6499815,8525.270000000004,4,2019
Portugal,172444.09,149681.47,2019-05-01,Smartphones,Celine Tumasian,Hortense Gerring,PC,98-0946281,22762.619999999995,5,2019
UK,78013.63,64509.47,2020-04-04,Clothing,Jessamine Apark,Genevra Charrisson,PC,90-6933957,13504.160000000003,4,2020
France,84712.13,73004.91,2020-11-07,Books,Othello Bowes,Ora Grennan,PC,29-8090560,11707.220000000001,11,2020
Portugal,28859.73,23656.32,2019-09-01,Electronics,Celine Tumasian,Corene Shirer,Mobile,82-0537890,5203.41,9,2019
Luxembourg,71360.36,59750.03,2019-02-01,Electronics,Ilsa Kob,Jocelyn Laurentino,PC,40-9830607,11610.330000000002,2,2019
France,161212.39,138046.17,2020-04-07,Accessories,Othello Bowes,Crysta Halls,PC,21-6670877,23166.22,4,2020
UK,124668.36,103998.35,2020-05-11,Games,Jessamine Apark,Winny Agnolo,PC,68-5024232,20670.009999999995,5,2020
Finland,186397.6,161233.92,2020-04-12,Appliances,Hube Corey,Mellicent Mattys,Mobile,13-0833129,25163.679999999993,4,2020
Sweden,153823.74,129258.09,2020-11-30,Electronics,Maxie Marrow,Anita Woakes,Mobile,53-0009701,24565.649999999994,11,2020
Germany,169544.95,137568.77,2020-12-04,Appliances,Rickard Doogood,Casie MacBain,Mobile,96-7625873,31976.180000000022,12,2020
Sweden,58010.14,46089.06,2019-11-09,Appliances,Maxie Marrow,Tarrah Castelletti,PC,84-9167618,11921.080000000002,11,2019
Spain,58933.16,51855.29,2019-09-20,Electronics,Emalia Dinse,Bertha Walbrook,Mobile,67-2823354,7077.870000000003,9,2019
UK,165631.75,139114.11,2019-03-09,Appliances,Jessamine Apark,Jay Morefield,PC,07-7047482,26517.640000000014,3,2019
France,76543.36,65819.64,2019-03-21,Accessories,Othello Bowes,Ora Grennan,PC,01-7655863,10723.720000000001,3,2019
France,82697.53,69548.62,2020-12-08,Games,Othello Bowes,Avrit Chanders,PC,47-5319780,13148.910000000003,12,2020
Portugal,135211.42,108534.21,2019-12-08,Clothing,Celine Tumasian,Corene Shirer,PC,78-5541691,26677.210000000006,12,2019
Italy,142353.07,116046.22,2019-07-24,Books,Piggy Roscrigg,Joshua Prevost,PC,93-9941140,26306.850000000006,7,2019
UK,156177.77,130096.08,2019-12-24,Clothing,Jessamine Apark,Winny Agnolo,PC,91-0416047,26081.689999999988,12,2019
Portugal,99832.12,84128.53,2019-05-15,Appliances,Celine Tumasian,Aurelie Wren,PC,46-6126203,15703.589999999997,5,2019
UK,176662.26,146859.34,2020-06-28,Electronics,Jessamine Apark,Genevra Charrisson,PC,44-9908550,29802.920000000013,6,2020
Portugal,156839.31,134709.28,2020-11-05,Smartphones,Celine Tumasian,Corene Shirer,PC,27-9800293,22130.03,11,2020
France,74685.85,59166.13,2020-05-23,Games,Othello Bowes,Avrit Chanders,PC,68-0176456,15519.720000000008,5,2020
Italy,127830.38,103874.97,2020-05-21,Games,Piggy Roscrigg,Joshua Prevost,PC,66-7112079,23955.410000000003,5,2020
Finland,132246.48,106841.93,2019-02-01,Games,Hube Corey,Mellicent Mattys,PC,95-1862126,25404.550000000017,2,2019
Netherlands,102073.04,81770.71,2020-02-03,Outdoors,Denice Amberg,Nero Harbisher,Mobile,03-3076058,20302.329999999987,2,2020
UK,18897.97,16469.58,2020-02-16,Other,Jessamine Apark,Winny Agnolo,Mobile,22-8551804,2428.3899999999994,2,2020
Sweden,144072.9,123729.81,2019-07-13,Beauty,Maxie Marrow,Anita Woakes,PC,85-3431441,20343.089999999997,7,2019
Sweden,28755.32,23938.8,2019-10-10,Books,Maxie Marrow,Madelon Bront,PC,47-6702070,4816.52,10,2019
Ireland,161630.62,133991.78,2019-04-04,Appliances,Glenine Suttaby,Palm Wetherald,PC,39-6568658,27638.839999999997,4,2019
France,234961.46,199388.3,2019-02-06,Accessories,Othello Bowes,Maighdiln Upcraft,Mobile,24-9178520,35573.16,2,2019
Italy,38536.92,32001.06,2020-05-28,Books,Piggy Roscrigg,Joshua Prevost,Mobile,61-4366487,6535.859999999997,5,2020
Ireland,46857.77,39116.87,2020-06-19,Games,Glenine Suttaby,Palm Wetherald,Mobile,61-0888460,7740.899999999994,6,2020
Sweden,177215.51,155807.88,2019-07-05,Clothing,Maxie Marrow,Alyosha Meah,PC,54-3353166,21407.630000000005,7,2019
UK,149938.36,123579.2,2020-11-14,Appliances,Jessamine Apark,Jay Morefield,PC,93-0380487,26359.15999999999,11,2020
Sweden,157683.41,130624.94,2019-08-06,Electronics,Maxie Marrow,Alyosha Meah,Tablet,17-0893784,27058.47,8,2019
Bulgaria,91108.56,74089.48,2020-06-24,Appliances,Charil Alpe,Shermy McGready,PC,34-0286364,17019.08,6,2020
France,165259.58,130703.8,2020-06-26,Outdoors,Othello Bowes,Crysta Halls,PC,46-1318487,34555.779999999984,6,2020
Portugal,223233.32,179100.09,2019-06-28,Games,Celine Tumasian,Corene Shirer,PC,43-8355995,44133.23000000001,6,2019
Portugal,84767.77,68950.1,2020-01-18,Electronics,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688,15817.669999999998,1,2020
Spain,144530.35,115407.48,2020-04-08,Other,Emalia Dinse,Manuel Goudie,PC,63-1220717,29122.87000000001,4,2020
UK,178560.1,150383.32,2020-02-07,Books,Jessamine Apark,Winny Agnolo,Mobile,25-2616039,28176.78,2,2020
UK,96669.92,76475.57,2020-12-27,Appliances,Jessamine Apark,Winny Agnolo,Mobile,20-0499139,20194.34999999999,12,2020
France,35289.75,29424.59,2019-02-26,Smartphones,Othello Bowes,Maighdiln Upcraft,PC,92-6298656,5865.16,2,2019
Portugal,159216.47,137419.74,2020-06-26,Games,Celine Tumasian,Smitty Culverhouse,PC,57-9765345,21796.73000000001,6,2020
Portugal,32779.67,26800.66,2020-03-22,Outdoors,Celine Tumasian,Aurelie Wren,PC,16-9758497,5979.009999999998,3,2020
Portugal,64192.86,52837.14,2020-12-04,Appliances,Celine Tumasian,Brynn Dempster,PC,10-4704941,11355.720000000001,12,2020
UK,47771.76,39234.95,2019-05-29,Beauty,Jessamine Apark,Genevra Charrisson,PC,70-8181545,8536.810000000005,5,2019
UK,126979.62,105113.73,2019-09-26,Electronics,Jessamine Apark,Genevra Charrisson,PC,15-5051694,21865.89,9,2019
Belgium,46311.34,40564.1,2020-01-03,Accessories,Lambert Norheny,Collin Mackness,PC,20-4568650,5747.239999999998,1,2020
Sweden,92877.57,75936.7,2020-05-04,Electronics,Maxie Marrow,Madelon Bront,Mobile,40-9497268,16940.87000000001,5,2020
Sweden,86854.64,72219.63,2020-04-02,Books,Maxie Marrow,Tarrah Castelletti,PC,77-4566105,14635.009999999995,4,2020
Ireland,68802.13,54635.77,2020-09-15,Beauty,Glenine Suttaby,Bunnie Tonbridge,PC,17-3178991,14166.360000000008,9,2020
Sweden,103726.57,90231.74,2020-05-21,Clothing,Maxie Marrow,Caro Morfield,Mobile,25-9913528,13494.830000000002,5,2020
France,165262.34,142621.4,2020-05-19,Electronics,Othello Bowes,Amelina Piscopiello,Mobile,96-0020600,22640.940000000002,5,2020
Finland,72385.53,60181.33,2019-10-09,Clothing,Hube Corey,Wat Bowkley,PC,66-8222460,12204.199999999997,10,2019
Sweden,31627.37,25662.45,2020-08-27,Beauty,Maxie Marrow,Caro Morfield,Mobile,84-5642889,5964.919999999998,8,2020
France,232217.05,191439.74,2019-06-20,Beauty,Othello Bowes,Maighdiln Upcraft,Mobile,19-6334792,40777.31,6,2019
France,99319.33,79127.71,2020-05-26,Games,Othello Bowes,Amelina Piscopiello,PC,53-3037652,20191.619999999995,5,2020
France,125499.82,100977.16,2019-08-04,Beauty,Othello Bowes,Ora Grennan,PC,47-9191500,24522.660000000003,8,2019
France,66884.7,58544.18,2020-01-19,Smartphones,Othello Bowes,Crysta Halls,PC,44-9179070,8340.519999999997,1,2020
Sweden,20226.11,17408.61,2019-02-23,Electronics,Maxie Marrow,Caro Morfield,PC,21-3278349,2817.5,2,2019
Sweden,50618.21,41835.95,2019-05-03,Beauty,Maxie Marrow,Tarrah Castelletti,PC,56-1063618,8782.260000000002,5,2019
Sweden,39313.39,34273.41,2020-10-10,Beauty,Maxie Marrow,Anita Woakes,Mobile,68-3731565,5039.979999999996,10,2020
UK,146055.05,117822.61,2019-07-10,Clothing,Jessamine Apark,Winny Agnolo,Tablet,38-2969743,28232.439999999988,7,2019
Sweden,53093.47,42533.18,2020-10-25,Clothing,Maxie Marrow,Anita Woakes,PC,84-2496865,10560.29,10,2020
France,176190.16,142273.55,2019-02-09,Appliances,Othello Bowes,Maighdiln Upcraft,PC,03-3461826,33916.610000000015,2,2019
France,64827.8,56043.63,2019-01-20,Appliances,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,8784.170000000006,1,2019
Spain,123953.65,101939.48,2019-08-05,Beauty,Emalia Dinse,Perri Aldersley,PC,44-2650716,22014.17,8,2019
Portugal,19622.59,17148.18,2020-06-03,Clothing,Celine Tumasian,Aurelie Wren,PC,73-4726386,2474.41,6,2020
Sweden,146540.75,120822.85,2019-04-30,Smartphones,Maxie Marrow,Anita Woakes,PC,84-2858993,25717.899999999994,4,2019
Austria,139075.59,113708.2,2020-12-16,Games,Orsa Geekin,Bank Coumbe,PC,24-2403756,25367.39,12,2020
France,131864.04,110277.9,2019-09-04,Appliances,Othello Bowes,Ora Grennan,PC,67-2684209,21586.140000000014,9,2019
Finland,130251.55,105386.53,2019-05-08,Beauty,Hube Corey,Mellicent Mattys,PC,26-1201622,24865.020000000004,5,2019
Portugal,38930.16,32837.59,2020-11-18,Outdoors,Celine Tumasian,Brynn Dempster,PC,12-2202467,6092.570000000007,11,2020
France,219911.81,179426.05,2019-05-07,Clothing,Othello Bowes,Crysta Halls,PC,99-3971751,40485.76000000001,5,2019
UK,49930.87,40174.38,2020-02-21,Outdoors,Jessamine Apark,Genevra Charrisson,PC,10-5202864,9756.490000000005,2,2020
Portugal,57859.08,47756.88,2019-08-12,Books,Celine Tumasian,Aurelie Wren,Mobile,95-2190016,10102.200000000004,8,2019
Denmark,26745.94,22600.32,2019-10-11,Appliances,Modestia Byfford,Case Desorts,PC,49-1493117,4145.619999999999,10,2019
Spain,87205.01,69171.01,2020-06-18,Games,Emalia Dinse,Manuel Goudie,Tablet,45-3085595,18034.0,6,2020
Portugal,216863.04,175355.45,2019-07-24,Beauty,Celine Tumasian,Corene Shirer,Tablet,72-7973717,41507.59,7,2019
Portugal,154858.0,135376.86,2020-07-22,Games,Celine Tumasian,Smitty Culverhouse,PC,72-4825752,19481.140000000014,7,2020
Ireland,167301.52,147074.77,2019-06-05,Outdoors,Glenine Suttaby,Bunnie Tonbridge,PC,80-3206606,20226.75,6,2019
France,38750.53,31298.8,2019-01-09,Outdoors,Othello Bowes,Amelina Piscopiello,PC,22-5929243,7451.73,1,2019
Finland,145809.65,123136.25,2019-07-30,Appliances,Hube Corey,Mellicent Mattys,PC,96-5231814,22673.399999999994,7,2019
Germany,161823.46,130494.44,2020-07-20,Clothing,Rickard Doogood,Casie MacBain,PC,84-1062113,31329.01999999999,7,2020
Luxembourg,175332.04,144999.6,2020-09-24,Accessories,Ilsa Kob,Jocelyn Laurentino,PC,89-8942175,30332.440000000002,9,2020
Sweden,97148.34,77806.11,2020-04-29,Books,Maxie Marrow,Tarrah Castelletti,PC,44-9978904,19342.229999999996,4,2020
Sweden,146226.36,117916.94,2020-10-18,Smartphones,Maxie Marrow,Alyosha Meah,PC,28-1840061,28309.419999999984,10,2020
Portugal,139200.81,120172.06,2019-08-23,Games,Celine Tumasian,Brynn Dempster,PC,19-3893110,19028.75,8,2019
Spain,84900.24,73701.9,2020-07-14,Clothing,Emalia Dinse,Perri Aldersley,PC,60-6998932,11198.340000000011,7,2020
Sweden,138443.23,115101.7,2019-06-14,Clothing,Maxie Marrow,Alyosha Meah,Mobile,99-9599677,23341.530000000013,6,2019
Netherlands,62708.6,51414.78,2019-08-29,Smartphones,Denice Amberg,Nero Harbisher,PC,11-5260310,11293.82,8,2019
Portugal,134807.18,108047.95,2020-12-29,Beauty,Celine Tumasian,Corene Shirer,PC,76-2368068,26759.229999999996,12,2020
Portugal,108689.45,91223.06,2019-09-11,Appliances,Celine Tumasian,Brynn Dempster,Mobile,35-6825112,17466.39,9,2019
UK,105357.645,52811.83,2019-02-23,Smartphones,Jessamine Apark,Winny Agnolo,PC,25-6368157,52545.815,2,2019
Portugal,111551.96,89420.05,2020-06-01,Clothing,Celine Tumasian,Aurelie Wren,PC,41-6241712,22131.910000000003,6,2020
France,89930.18,78005.44,2020-03-26,Other,Othello Bowes,Maighdiln Upcraft,PC,65-0441590,11924.73999999999,3,2020
Netherlands,50241.47,43443.8,2020-10-17,Books,Denice Amberg,Nero Harbisher,Tablet,62-1501210,6797.669999999998,10,2020
Ireland,76767.77,64500.28,2020-01-22,Games,Glenine Suttaby,Bunnie Tonbridge,PC,15-3657248,12267.490000000005,1,2020
Portugal,60744.83,52805.48,2020-03-19,Smartphones,Celine Tumasian,Brynn Dempster,PC,69-4462108,7939.3499999999985,3,2020
France,122468.33,103032.61,2020-08-09,Electronics,Othello Bowes,Avrit Chanders,Mobile,53-7680732,19435.72,8,2020
Portugal,74958.46,65806.03,2020-05-08,Electronics,Celine Tumasian,Smitty Culverhouse,PC,31-8846200,9152.430000000008,5,2020
France,66678.38,53009.31,2019-04-03,Smartphones,Othello Bowes,Amelina Piscopiello,PC,34-3119010,13669.070000000007,4,2019
France,56106.13,45081.27,2020-12-03,Electronics,Othello Bowes,Amelina Piscopiello,PC,24-3140242,11024.86,12,2020
Sweden,64842.92,56439.28,2019-09-29,Appliances,Maxie Marrow,Alyosha Meah,Mobile,60-9753536,8403.64,9,2019
France,45481.24,37317.36,2019-10-25,Smartphones,Othello Bowes,Crysta Halls,PC,13-6163562,8163.879999999997,10,2019
Finland,107271.94,86665.0,2020-08-23,Games,Hube Corey,Wat Bowkley,PC,78-8990131,20606.940000000002,8,2020
Portugal,42847.46,34757.86,2020-10-22,Accessories,Celine Tumasian,Aurelie Wren,PC,14-9919657,8089.5999999999985,10,2020
Sweden,108978.79,95432.73,2019-11-28,Games,Maxie Marrow,Madelon Bront,PC,84-5276032,13546.059999999998,11,2019
France,133905.55,116886.15,2020-01-08,Books,Othello Bowes,Avrit Chanders,Mobile,79-0973971,17019.399999999994,1,2020
UK,65014.84,53669.75,2020-03-27,Outdoors,Jessamine Apark,Genevra Charrisson,Mobile,55-4588115,11345.089999999997,3,2020
Sweden,113763.38,91158.6,2020-01-04,Books,Maxie Marrow,Madelon Bront,PC,52-8377955,22604.78,1,2020
Luxembourg,294874.74,259106.43,2020-12-15,Books,Ilsa Kob,Jocelyn Laurentino,PC,37-2363680,35768.31,12,2020
Sweden,73860.57,60336.7,2020-11-13,Clothing,Maxie Marrow,Madelon Bront,PC,16-5837761,13523.87000000001,11,2020
Luxembourg,182852.21,145440.65,2019-12-28,Outdoors,Ilsa Kob,Jocelyn Laurentino,PC,01-8696189,37411.56,12,2019
Germany,163546.81,133307.0,2019-07-05,Electronics,Rickard Doogood,Casie MacBain,PC,94-2134593,30239.809999999998,7,2019
UK,56768.43,47384.61,2019-04-22,Games,Jessamine Apark,Winny Agnolo,PC,84-9254695,9383.82,4,2019
Portugal,143107.89,121241.0,2020-02-11,Electronics,Celine Tumasian,Hortense Gerring,Mobile,18-0704377,21866.890000000014,2,2020
Sweden,115339.49,100691.37,2019-03-09,Outdoors,Maxie Marrow,Madelon Bront,Mobile,03-4651559,14648.12000000001,3,2019
Ireland,117358.02,102664.8,2020-02-11,Clothing,Glenine Suttaby,Palm Wetherald,PC,79-8966057,14693.220000000001,2,2020
Sweden,54446.5,44989.14,2020-09-03,Appliances,Maxie Marrow,Alyosha Meah,Tablet,47-5524071,9457.36,9,2020
Netherlands,152771.9,134423.99,2020-02-05,Clothing,Denice Amberg,Nero Harbisher,PC,82-4495901,18347.910000000003,2,2020
Portugal,211872.69,177930.69,2019-07-23,Games,Celine Tumasian,Hortense Gerring,Mobile,36-2012010,33942.0,7,2019
France,77043.84,63245.29,2020-08-02,Outdoors,Othello Bowes,Avrit Chanders,PC,91-7317758,13798.549999999996,8,2020
Netherlands,353925.06,287528.72,2020-04-12,Clothing,Denice Amberg,Nero Harbisher,PC,36-2694099,66396.34000000003,4,2020
UK,176080.36,153401.21,2019-11-13,Beauty,Jessamine Apark,Jay Morefield,PC,74-9554997,22679.149999999994,11,2019
Finland,180250.02,147354.39,2019-03-06,Electronics,Hube Corey,Mellicent Mattys,PC,57-5645459,32895.629999999976,3,2019
Portugal,157754.36,132166.6,2019-09-08,Books,Celine Tumasian,Aurelie Wren,Mobile,67-8646070,25587.75999999998,9,2019
UK,87321.89,69254.99,2019-01-17,Electronics,Jessamine Apark,Winny Agnolo,Mobile,62-5120016,18066.899999999994,1,2019
Portugal,40467.85,34656.67,2020-02-28,Smartphones,Celine Tumasian,Corene Shirer,Tablet,16-3842379,5811.18,2,2020
UK,160763.9,131102.96,2019-04-18,Appliances,Jessamine Apark,Genevra Charrisson,PC,73-8057834,29660.940000000002,4,2019
Sweden,156505.37,128647.41,2019-04-05,Electronics,Maxie Marrow,Alyosha Meah,PC,76-8416893,27857.959999999992,4,2019
Sweden,118030.7,97304.51,2019-04-09,Electronics,Maxie Marrow,Madelon Bront,PC,80-1021367,20726.190000000002,4,2019
Sweden,15100.57,12113.68,2019-02-20,Games,Maxie Marrow,Tarrah Castelletti,PC,89-2424262,2986.8899999999994,2,2019
Portugal,105833.52,85312.4,2019-03-20,Smartphones,Celine Tumasian,Corene Shirer,PC,01-1212783,20521.12000000001,3,2019
